,Hindi,Wordss
1695,हिमालय (himālay),Himalaya
1696,हंस (hans),goose
1697,सोचता (soctā),Thought
1698,विश्वनाथ (viśvanāth),Vishwanath
1699,वेतन (vetan),Salary
1700,मथुरा (mathurā),Mathura
1701,भाभी (bhābhī),sister in law
1702,भेजे (bheje),Send
1703,ब्यूरो (byūro),Bureau
1704,बनती (bantī),Father
1705,पक्षों (pakṣõ),Sides
1706,घरेलू (gharelū),the household
1707,गणना (gaṇnā),Calculation
1708,कहलाता (kahlātā),Saying
1709,कलावती (kalāvtī),Kalawati
1710,करना (karnā),Doing
1711,उदाहरणार्थ (udāharṇārth),For example
1712,उड़ (uṛ),Fly
1713,आघात (āghāt),the strokes
1714,हमला (hamlā),Attack
1715,व्यावसायिक (vyāvsāyik),commercial
1716,लोकप्रिय (lokapriy),popular
1717,रेलवे (relve),railway
1718,मिश्रित (miśrit),miscellaneous
1719,महान (mahān),Great
1720,मेहनत (mehnat),Hard work
1721,बिन्दु (bindu),the dot
1722,फलतः (phaltaḥ),Fruitful
1723,प्रोफेसर (prophesar),Professor
1724,प्रचलन (praclan),the trend
1725,औसत (ausat),average
1726,एकाएक (ekāek),Suddenly
1727,उपस्थिति (upasthiti),Presence
1728,उन्नति (unnati),Development
1729,आधे (ādhe),Half
1730,अली (alī),Ali
1731,सरस्वती (sarasvatī),Saraswati
1732,समर्थ (samarth),Capable
1733,सम्भवतः (sambhavtaḥ),Probably
1734,सड़कों (saṛkõ),Streets
1735,विशेषज्ञ (viśeṣagya),specialist
1736,विद्रोह (vidroh),Rebellion
1737,वात (vāt),Air
1738,व्यस्त (vyast),busy
1739,लाकर (lākar),Brought
1740,राव (rāv),Rao
1741,योजनाओं (yojnāõ),Plans
1742,मंत्र (mantra),mantra
1743,बताने (batāne),tell
1744,बताते (batāte),Shift
1745,प्रश्नों (praśnõ),Questions
1746,पकड़ा (pakṛā),caught
1747,नोट (noṭ),Note
1748,निवेदन (nivedan),Request
1749,न्याय (nyāy),justice
1750,धूल (dhūl),dust
1751,दाने (dāne),Rash
1752,दान (dān),charity
1753,देवीगढ़ (devīgaṛh),Devigarh
1754,तरल (taral),liquid
1755,कोरियाई (koriyāī),Korean
1756,किलोमीटर (kilomīṭar),Kilometer
1757,किताब (kitāb),book
1758,क्षमा (kṣamā),Forgiveness
1759,इंजन (iñjan),engine
1760,आए (āe),Returns
1761,असफल (asphal),fail
1762,हल्की (halkī),Light
1763,सावित्री (sāvitrī),Savitri
1764,सरदार (sardār),Sardar
1765,सगर्भता (sagarbhatā),Pregnancy
1766,शुभ (śubh),Good
1767,लहर (lahar),Wave
1768,लेखा (lekhā),Account
1769,मासिक (māsik),Monthly
1770,मद्रास (madrās),Madras
1771,मंगल (maṅgal),Mars
1772,भली (bhalī),Good
1773,भेजने (bhejne),Send
1774,बिजलीघर (bijlīghar),Electricity house
1775,बनाता (banātā),Create
1776,पवित्र (pavitra),sacred
1777,परिषद (pariṣad),council
1778,परि (pari),Munishment
1779,पूछा (pūchā),Asked
1780,नौकर (naukar),Servant
1781,निकालकर (nikālkar),by removing
1782,नासिक्य (nāsikya),Nasikya
1783,तापमान (tāpmān),Temperature
1784,तरीका (tarīkā),Method
1785,झूठ (jhūṭh),lies
1786,जाती (jātī),Large
1787,छुट्टी (chuṭṭī),leave
1788,घाट (ghāṭ),Ghat
1789,गोबर (gobar),Cow dung
1790,कामों (kāmõ),Works
1791,कश्मीर (kaśmīr),Kashmir
1792,ऊंची (ūñcī),High
1793,उन्नत (unnat),Advanced
1794,आजाद (ājād),Azad
1795,आग्रह (āgrah),Insistence
1796,अमृतसर (amŕtsar),Amritsar
1797,अनु (anu),Compliance
1798,अद्भुत (adbhut),stunning
1799,अतः (ataḥ),Therefore
1800,सिखों (sikhõ),Sikhs
1801,साधु (sādhu),Saint
1802,संदेश (sandeś),message
1803,लिखित (likhit),theory
1804,लेप (lep),Lap
1805,मर्यादा (maryādā),Limit
1806,मेज (mej),Table
1807,मुख्यतः (mukhyataḥ),Mainly
1808,भाजपा (bhājpā),B J P
1809,बेकार (bekār),Waste
1810,पैदावार (paidāvār),yield
1811,नाश (nāś),Destruction
1812,दलों (dalõ),Parties
1813,जापान (jāpān),Japan
1814,गोपाल (gopāl),Gopal
1815,कोशिकाओं (kośikāõ),Cells
1816,काटने (kāṭne),Bite
1817,कूद (kūd),Jump
1818,उपदेश (updeś),Sermon
1819,उड़ान (uṛān),flight
1820,अंतरिक्ष (antrikṣ),space
1821,सहसा (sahsā),Suddenly
1822,व्यास (vyās),Diameter
1823,मित्रों (mitrõ),Friends
1824,भोग (bhog),Jog
1825,बुला (bulā),Call
1826,प्रातः (prātaḥ),During the morning
1827,पढ़ा (paṛhā),Read
1828,पढ़ते (paṛhte),Read
1829,घोड़ा (ghoṛā),Horse
1830,गुफा (guphā),Cave
1831,खुल (khul),Open
1832,खुराक (khurāk),diet
1833,उपायों (upāyõ),Measures
1834,उपयोगिता (upyogitā),utility
1835,इलाज (ilāj),treatment
1836,आवाज़ (āvāz),sound
1837,आलू (ālū),potato
1838,हटा (haṭā),Remove
1839,स्वस्तिक (svastik),Swastik
1840,समीक्षा (samīkṣā),Analysis
1841,संक्रमण (saṅkramaṇ),infection
1842,सैकड़ों (saikṛõ),Hundreds
1843,शोर (śor),noise
1844,शब्दावली (śabdāvlī),Glossary
1845,यौगिक (yaugik),compound
1846,मना (manā),deny
1847,मंडल (maṇḍal),Board
1848,बचने (bacne),Avoid
1849,प्रेमनाथ (premnāth),Premnath
1850,परम (param),Supreme
1851,निधि (nidhi),Fund
1852,नेताजी (netājī),Netaji
1853,चुनौती (cunautī),challenge
1854,गौतम (gautam),Gautam
1855,खिड़की (khiṛkī),Window
1856,किस्में (kismẽ),Varieties
1857,करते (karte),Do
1858,कटाई (kaṭāī),Harvesting
1859,असाधारण (asādhāraṇ),Extraordinary
1860,स्मरण (smaraṇ),Remembrance
1861,समग्र (samagra),Overall
1862,सुनी (sunī),Heard
1863,रेडियो (reḍiyo),radio
1864,मामूली (māmūlī),Minor
1865,बीमार (bīmār),sick
1866,फायदा (phāydā),profit
1867,पुराणों (purāṇõ),Puranas
1868,प्रस्तावों (prastāvõ),Proposals
1869,प्रधानता (pradhāntā),Pradhanata
1870,पन्द्रह (pandrah),Fifteen
1871,नाव (nāv),Name
1872,तुल्फ (tulph),Tulf
1873,तत्काल (tatkāl),Immediately
1874,जोड़ा (joṛā),couple
1875,चाल (cāl),Speed
1876,चूहे (cūhe),mice
1877,चलना (calnā),Walking
1878,गाया (gāyā),Sung
1879,गला (galā),Neck
1880,खैर (khair),So
1881,कोर्ट (korṭ),Court
1882,कराना (karānā),To do
1883,कंपनी (kampnī),company
1884,इसने (isne),It
1885,इनको (inko),Them
1886,अर्थव्यवस्था (arthavyavasthā),economy
1887,अंचल (añcal),Zone
1888,हल्का (halkā),mild
1889,सुनिश्चित (suniścit),Assured
1890,वरना (varnā),Otherwise
1891,बुनियादी (buniyādī),Basic
1892,दैनिक (dainik),Daily
1893,जुड़े (juṛe),Connected
1894,घुस (ghus),Gain
1895,खुली (khulī),open
1896,कुमार (kumār),Youth
1897,कुमाऊँ (kumāū̃),Kumaon
1898,आंगन (āṅgan),Courtyard
